;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;Оповещение о закрытии трактов (каналов);Оповещение о закрытии трактов (каналов);;;;
;;;в результате проведения плановых и неплановых РНР;в результате проведения плановых и неплановых РНР;;;;
;;;"на СМП ОАО ""Ростелеком""";"на СМП ОАО ""Ростелеком""";;;;
;;;;;;;;
Клиент;Дата, время;Условие проведения работ;№ работы;Существующая нумерация трактов;Участок измерений;Содержание работ;Направление связи, ПЦТ, канала, межд.обозн.;Вид использования
1;2;3;4;5;6;7;8;9
"CHINA TELECOM;ТЕА; ГРУЗИЯ; КИТАЙ";Вт 26.08.2014 c 05:00 до 05:30;4-6 КР;08/1400927;К708-63-42;12003 - 15001;- ' ' -;"ШЕНЬДЖЕНЬ - ТБИЛИСИ; NP2             [870830]";МН,ТЕА
"CHINA TELECOM;ТЕА; ГРУЗИЯ; КИТАЙ";Вт 26.08.2014 c 05:00 до 05:30;4-6;08/1400927;К708-63-42;12003 - 15001;- ' ' -;"ШЕНЬДЖЕНЬ - ТБИЛИСИ; NP2             [870830]";МН,ТЕА
"CHINA TELECOM;СГМД; ГОНКОНГ";Вт 26.08.2014 c 05:00 до 05:30;4-6 КР;08/1400927;К708-63-42;12003 - 15001;- ' ' -;"Москва, Бутлерова,7, МСС-11 - ГОНКОНГ; NP1             [1028461]";МЗАРУБКОМП
"CHINA TELECOM;СГМД; ГОНКОНГ";Вт 26.08.2014 c 05:00 до 05:30;4-6;08/1400927;К708-63-42;12003 - 15001;- ' ' -;"Москва, Бутлерова,7, МСС-11 - ГОНКОНГ; NP1             [1028461]";МЗАРУБКОМП
"CHINA TELECOM; КИТАЙ";Вт 26.08.2014 c 05:00 до 05:30;4-6 КР;08/1400927;К708-63-42;12003 - 15001;- ' ' -;"Москва, Бутлерова,7, МСС-11 - ШАНХАЙ; 30N4           ; B [1285334]";ТФС,ИНО
"CHINA TELECOM; КИТАЙ";Вт 26.08.2014 c 05:00 до 05:30;4-6;08/1400927;К708-63-42;12003 - 15001;- ' ' -;"Москва, Бутлерова,7, МСС-11 - ШАНХАЙ; 30N4           ; B [1285334]";ТФС,ИНО
"CHINA TELECOM; КИТАЙ";Вт 26.08.2014 c 05:00 до 05:30;4-6 КР;08/1400927;К708-63-42;12003 - 15001;- ' ' -;"Москва - ГУАНЧЖОУ; 30N4           ; B [1285351]";ТФС,ИНО
"CHINA TELECOM; КИТАЙ";Вт 26.08.2014 c 05:00 до 05:30;4-6;08/1400927;К708-63-42;12003 - 15001;- ' ' -;"Москва - ГУАНЧЖОУ; 30N4           ; B [1285351]";ТФС,ИНО
"CHINA TELECOM; КИТАЙ";Вт 26.08.2014 c 05:00 до 05:30;4-6 КР;08/1400927;К708-63-42;12003 - 15001;- ' ' -;"Москва - ГУАНЧЖОУ; 30N5           ; B [1285352]";ТФС,ИНО
"CHINA TELECOM; КИТАЙ";Вт 26.08.2014 c 05:00 до 05:30;4-6;08/1400927;К708-63-42;12003 - 15001;- ' ' -;"Москва - ГУАНЧЖОУ; 30N5           ; B [1285352]";ТФС,ИНО
